,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14
0,5,2,4,3,3,7,6,2,5,1,1,Neither agree/nor disagree,3,Somewhat disagree,6,Somewhat agree,5,Be patience.,Somewhat disagree,No comment.,Somewhat agree,Somewhat disagree,Be confident.,Somewhat disagree,34,Male,"Everyday, during a majority of business hours",Once or twice a week,Anything else.,A mouse,No comment.,Keyboard,Nothing.,Be practice.,Somewhat disagree,Strongly disagree,Somewhat agree,Nothing else.
1,6,7,6,5,6,6,7,6,6,6,7,Neither agree/nor disagree,6,Somewhat agree,7,Somewhat agree,7,well,Strongly agree,good,Somewhat agree,Somewhat agree,nice,Strongly agree,59,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car,A mouse,well,Mouse buttons,like,like,Strongly agree,Strongly agree,Strongly agree,well
2,6,7,6,7,6,5,7,6,7,5,7,Somewhat agree,6,Strongly agree,7,Somewhat agree,6,Yes,Strongly agree,Yes,Somewhat agree,Strongly agree,No,Strongly agree,35,Female,"Everyday, a few hours","Everyday, a few hours",Yes,A mouse,Good,Trackpad buttons,Good,Yes,Somewhat agree,Strongly agree,Somewhat agree,Yes
3,5,3,1,5,3,5,6,6,2,3,5,Somewhat agree,3,Strongly agree,2,Strongly agree,5,"The interface controls were inverted on my mouse. When I moved my cursor to the right, the dial moved to the left. I think it would be a better idea to have the dial move in the same direction as the mouse.",Somewhat agree,The interface could be more snappy in response to the cursor's movement and the mouse speed.,Strongly disagree,Somewhat agree,The interface allowed only a margin of error when positioning. I think allowing for a slightly larger area to account for errors would be better.,Somewhat agree,24,Female,"Everyday, during a majority of business hours",Rarely,"I play MMORPGs, roleplaying games, and MOBAs.",A mouse,I used a USB mouse for this task. It is a simple product with left and right clicking.,Mouse buttons,"The mouse I am using has the left and right buttons for clicking, and nothing else.",I completed this task on a laptop and used a USB mouse instead of a trackpad. The issue I encounter was that the controls were inverted for my mouse.,Somewhat agree,Strongly agree,Somewhat agree,"If the interface movements moved in the same direction as the cursor, it would be better. Also, for the dial to not have so much jerking when trying to move it fast against the target."
4,6,1,1,5,7,5,5,3,1,1,7,Strongly agree,7,Somewhat agree,7,Somewhat agree,3,very interesting,Strongly agree,very easy and fast,Somewhat disagree,Neither agree/nor disagree,very clear and attractive,Somewhat agree,32,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",playing some running games,A trackpad,nothing,Mouse buttons,nothing,yes of course,Strongly agree,Strongly agree,Neither agree/nor disagree,very easy
5,6,5,4,3,6,5,6,6,3,3,6,Somewhat agree,5,Strongly agree,3,Somewhat agree,4,It could be smoother.,Somewhat agree,It could stop easier.,Somewhat disagree,Somewhat agree,Finer controls.,Neither agree/nor disagree,35,Male,"Everyday, during a majority of business hours",Once or twice a week,Action adventure,A trackpad,,Trackpad buttons,,It needs smaller degrees of movement.,Neither agree/nor disagree,Somewhat agree,Somewhat agree,There could be finer controls.
6,7,6,7,6,7,6,7,6,4,4,6,Neither agree/nor disagree,7,Somewhat agree,6,Somewhat agree,6,yes more intutitve,Somewhat agree,yes interface be improved ,Somewhat agree,Strongly agree,no,Somewhat agree,25,Male,"Everyday, less than an hour","Everyday, a few hours",,A mouse,,Mouse buttons,,yes better,Somewhat agree,Strongly agree,Strongly agree,somewhat improved
7,4,2,2,2,3,2,1,3,2,2,3,Strongly agree,4,Strongly agree,5,Strongly agree,3,"I can't think of anything, the interface was intuitive just the way it was.",Somewhat agree,I don't think the interface can be improved to allow faster control of the object without interfering with your research.,Strongly disagree,Neither agree/nor disagree,I didn't receive any errors on the interface.,Neither agree/nor disagree,57,Female,"Everyday, a few hours",Once or twice a week,"Gin rummy, Solitaire, Tetris",A mouse,I use a wireless mouse.,Mouse buttons,I use mouse buttons to click on the computer.,I don't know about this question because I use a mouse.,Somewhat agree,Somewhat agree,Neither agree/nor disagree,"I thought this was a good study the way it is, and i apprectie the opportunity to contribute to your research."
8,4,3,4,6,4,3,5,3,2,1,5,Somewhat agree,6,Neither agree/nor disagree,6,Somewhat agree,2,Know which colours evoke which moods,Somewhat agree,Keep the interface simple. ,Neither agree/nor disagree,Somewhat agree,Rotate,Somewhat agree,36,Female,"Everyday, during a majority of business hours",Once or twice a week,game controllers ,A mouse, primary input devices,Mouse buttons, primary input devices,Use headings correctly ,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,No
9,6,7,6,7,6,7,6,7,2,2,7,Strongly agree,7,Somewhat agree,6,Strongly agree,1,nice survey,Strongly agree,sory i no,Strongly agree,Somewhat agree,sory i no,Strongly agree,62,Female,"Everyday, during a majority of business hours","Everyday, a few hours",free fire,A mouse,a mouse,Mouse buttons,mouse buttons,sory i no,Strongly agree,Somewhat agree,Strongly agree,i no
