,startTime,endTime,control,transitionType,targetX,targetY,targetTheta,threshXY,threshTheta,uid,sid,cid,interfaceID,numClicks,draggingDuration,cycleLength,targetDistance
0,1600298225.113,1600298234.075,drag,press/release,274.8867925127705,261.38800743308275,-108.09790852786813,12.219615983681607,28.734672255172832,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCFrP7zkP2CIRfjCy,drag-press/release,4,5.936,8.962000131607056,83.04240827434447
1,1600298238.475,1600298244.077,drag,press/release,325.4067508526355,280.89333331709304,17.36568217260258,25.499456615328697,47.21238340929651,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCJ7AKwDzTAcZow-_,drag-press/release,2,4.155,5.601999998092651,44.89229445865563
2,1600298249.023,1600298261.765,drag,press/release,475.3811986862269,335.36421596411554,169.28329748363478,6.276833296769805,25.16769396516645,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCLgzuwCWO3XRl2xH,drag-press/release,4,8.723,12.742000102996826,146.5362958501556
3,1600298280.463,1600298310.231,drag,press/release,586.054982825063,251.48943457856296,-35.326346644440456,23.10075571206597,53.304349664680274,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCTNElFiNTh0v2Lem,drag-press/release,6,6.293,29.76799988746643,229.06851036646407
4,1600298314.459,1600298325.077,drag,press/release,424.6988644928536,320.086061976171,-176.32610846074766,13.138038668651602,40.99467110797511,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCafQia4HvzrCpXNP,drag-press/release,4,7.84,10.617999792098999,98.16498592116119
5,1600298329.511,1600298334.827,drag,press/release,582.2426728409666,192.44607811368743,-7.076936227677244,8.19183631425453,31.913159334539802,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCeLbtuW5B_fRQJFl,drag-press/release,2,4.096,5.315999984741211,232.23395046647653
6,1600298339.214,1600298351.686,drag,press/release,356.435283678415,193.74626092527433,-138.6820887687085,24.358959270289226,14.053321231146239,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCgiDRPp-DIFp-2Yg,drag-press/release,6,9.039,12.472000122070312,55.25662481785991
7,1600298356.429,1600298365.077,drag,press/release,458.70798649701715,133.38958223709207,-30.65241293622265,17.22297566413378,53.518857347504124,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCkvDo7grLnBRng_l,drag-press/release,4,6.231,8.648000001907349,153.9814378832446
8,1600298369.378,1600298377.507,drag,press/release,336.02900175165814,304.80763311133137,27.20819170923846,14.85404107319301,41.974591549192795,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCo4XApMiTPczInbf,drag-press/release,4,4.864,8.128999948501587,59.617737973030536
9,1600298381.849,1600298390.695,drag,press/release,394.9219582316031,286.18641693840755,-152.71322081593675,11.165873311462981,43.67031256043197,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCr7O0IHPHj3UxdrX,drag-press/release,4,6.128,8.845999956130981,53.11218806297229
10,1600298406.698,1600298418.777,drag,press/release,354.75786433765217,252.9466796652179,107.76542180071678,21.387422778772358,45.98827702206884,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOCxBexRMPAz9rpkne,drag-press/release,4,5.746,12.078999996185303,4.53910263248327
11,1600298430.149,1600298440.028,drag,press/release,362.5176162943694,249.36204176407333,-172.73742308613458,21.346865849037886,33.60947008527612,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOD1v4sWVzS5ZtW4da,drag-press/release,4,6.71,9.879000186920166,5.529481332894093
12,1600298444.133,1600298457.608,drag,press/release,498.9472065543953,378.4263150243886,-143.85869930148567,20.77978305904029,33.71372257495361,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOD5K_C6UauFZOdyCb,drag-press/release,4,10.265,13.475000143051147,192.09419686546607
13,1600298461.793,1600298470.506,drag,press/release,374.62859678852004,146.47586317278845,-75.33127761625721,10.58051772854746,47.00178852210758,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOD9dWoanfybfDEuou,drag-press/release,4,6.343,8.713000059127808,104.02867901159283
14,1600298474.616,1600298483.999,drag,press/release,409.8183850924775,373.28771462156374,-43.79812598478872,29.978453489285947,39.570808901057056,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODClsQQVBRCx5rFIM,drag-press/release,4,6.766,9.383000135421753,135.04524356536413
15,1600298495.129,1600298506.342,drag,press/release,173.83691889790583,100.77478495121645,13.100477607941965,15.85442341144171,40.370931555835156,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODHmOLu-N8nddz3pw,drag-press/release,2,3.593,11.213000059127808,235.6256112036008
16,1600298510.881,1600298521.624,drag,press/release,403.79900407882405,165.68462922228076,-16.29261306606336,17.13888768238606,16.368391822003233,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODLcWFKT1u-hANheT,drag-press/release,4,7.941,10.743000030517578,95.55939404683677
17,1600298526.11,1600298533.593,drag,press/release,363.77650012330207,294.2144084224291,59.79005563823391,15.193435196471604,31.462506231022928,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODPLTeMXTeDBLEXAa,drag-press/release,4,4.812,7.483000040054321,45.719401602725924
18,1600298537.839,1600298547.436,drag,press/release,201.19828838780808,127.72115634813828,-72.92421522442962,16.301688369215242,47.185863499390194,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODSCj6vAtLuo2JnZ7,drag-press/release,4,7.146,9.597000122070312,197.4404499053356
19,1600298552.28,1600298564.417,drag,press/release,449.233310369925,109.22144110859648,-66.03483767690683,5.581361499535463,22.07045847239299,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODVjNfDECIs7kpfhG,drag-press/release,4,8.562,12.13700008392334,167.466501329527
20,1600298568.601,1600298584.515,drag,press/release,554.1143535462918,227.93452370849116,172.68102075719725,9.666622496899116,52.01881187167565,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODZiOhwjZgxlANjXe,drag-press/release,4,10.767,15.914000034332275,198.23678433974013
21,1600298589.144,1600298600.314,drag,press/release,488.5674170285522,347.95594687834557,-144.47806297236517,25.487156391742587,24.175018407136452,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODdjNECJOoWx5z2TJ,drag-press/release,4,7.55,11.169999837875366,164.62765456069317
22,1600298608.71,1600298619.215,drag,press/release,251.02923573162482,239.16181812108258,152.43010017474495,19.36093355840132,35.895921209558615,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODiW5C6O_wsWZnoqY,drag-press/release,4,7.229,10.504999876022339,106.42646617409694
23,1600298626.009,1600298634.838,drag,press/release,410.9782593122844,307.97211249392495,-54.191616184483095,25.698802461755704,20.929726026943378,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODmjOLMHMVeehlZ36,drag-press/release,4,4.801,8.828999996185303,79.94599758824928
24,1600298641.0,1600298666.952,drag,press/release,574.7081340836583,362.9454911997431,106.91458876919724,19.957551981621627,50.289385578966204,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODqOc1scmBLTffFfG,drag-press/release,4,12.114,25.95199990272522,245.7242491308883
25,1600298671.537,1600298681.202,drag,press/release,337.1919597408988,299.4721454328267,-91.32776512165145,27.25184911674335,25.562801909152522,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHODxqlFZ3D25o6N7Kg,drag-press/release,4,6.236,9.664999961853027,54.219884945456904
26,1600298685.273,1600298696.234,drag,press/release,330.0182890308803,381.22834737220023,55.32661812396552,21.140325749708833,12.328618478243195,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOE0COD417Y0XYMd1R,drag-press/release,4,7.003,10.960999965667725,134.9531347379688
27,1600298701.485,1600298716.233,drag,press/release,152.85660552833411,308.6670123488777,165.95563699841884,19.618723152921863,16.889483900561242,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOE49hSrzx1ABNOD2h,drag-press/release,4,10.791,14.748000144958496,212.6844561058831
28,1600298720.671,1600298733.078,drag,press/release,401.9101839456614,223.21382594264685,-70.53340355587515,11.911895441792488,55.061319593783594,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOE8qUDnTJpySFWq3k,drag-press/release,4,6.422,12.407000064849854,51.78659473791703
29,1600298737.318,1600298748.312,drag,press/release,373.42498953865464,317.81567425557824,-127.16252892371115,16.904352426536157,12.048785805584558,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOECuagjU9VhdlrbM8,drag-press/release,4,7.665,10.99399995803833,70.74869118644364
30,1600298753.917,1600298769.515,drag,press/release,551.5536538288384,276.819493049697,106.74017915966178,21.734852201670837,23.027517988217323,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEGxxmmDt2mepKKgU,drag-press/release,4,12.095,15.598000049591064,196.5325632349347
31,1600298773.763,1600298787.983,drag,press/release,494.63398476415693,357.9285612245786,-16.849420884553492,24.916064537348653,7.014025738465483,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOELo2Qb9SQGkzS2Iv,drag-press/release,6,7.235,14.22000002861023,175.52363149307544
32,1600298792.569,1600298803.707,drag,press/release,563.3567888621419,124.68260166990586,75.87817598665814,15.780433876776414,21.448734572276763,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEQOttErSNkg2WWt0,drag-press/release,4,7.579,11.138000011444092,240.91064699813066
