,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14,uid,sid,control,transitionType,interfaceID
0,6,7,4,7,6,7,7,5,7,6,7,Somewhat agree,5,Somewhat agree,7,Neither agree/nor disagree,6,free mind,Somewhat agree,mind free,Somewhat agree,Strongly agree,Free mind,Somewhat agree,65,Female,"Everyday, less than an hour","Everyday, less than an hour",GTA,A mouse,,Trackpad buttons,,Relax,Somewhat agree,Strongly agree,Neither agree/nor disagree,Good ,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOEp-e4ij6FIaXY7kj,drag,press/release,drag-press/release
1,5,2,4,3,3,7,6,2,5,1,1,Neither agree/nor disagree,3,Somewhat disagree,6,Somewhat agree,5,Be patience.,Somewhat disagree,No comment.,Somewhat agree,Somewhat disagree,Be confident.,Somewhat disagree,34,Male,"Everyday, during a majority of business hours",Once or twice a week,Anything else.,A mouse,No comment.,Keyboard,Nothing.,Be practice.,Somewhat disagree,Strongly disagree,Somewhat agree,Nothing else.,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt4W3D-EWM15wZEuR5,targetdrag,press/release,targetdrag-press/release
2,5,4,3,2,3,3,4,5,3,3,5,Strongly agree,4,Strongly agree,5,Strongly agree,5,It seems to be as good as it gets.,Strongly agree,"It could be larger, but then again I'm using a 4k screen",Somewhat agree,Strongly agree,It could be easier to click on the ring and not the space around it,Neither agree/nor disagree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours",mostly rpgs and strategy games.,A mouse,,Mouse buttons,,,Neither agree/nor disagree,Neither agree/nor disagree,Somewhat disagree,,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyzsRgNvH54lxuL31_,target,click,target-click
3,6,7,6,5,6,6,7,6,6,6,7,Neither agree/nor disagree,6,Somewhat agree,7,Somewhat agree,7,well,Strongly agree,good,Somewhat agree,Somewhat agree,nice,Strongly agree,59,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car,A mouse,well,Mouse buttons,like,like,Strongly agree,Strongly agree,Strongly agree,well,0dr1PeE0W6hbuVdFvMe99rM0rA33,-MGsyQaN2Utv9sDeNZeu,panel,click,panel-click
4,5,3,1,5,3,5,6,6,2,3,5,Somewhat agree,3,Strongly agree,2,Strongly agree,5,"The interface controls were inverted on my mouse. When I moved my cursor to the right, the dial moved to the left. I think it would be a better idea to have the dial move in the same direction as the mouse.",Somewhat agree,The interface could be more snappy in response to the cursor's movement and the mouse speed.,Strongly disagree,Somewhat agree,The interface allowed only a margin of error when positioning. I think allowing for a slightly larger area to account for errors would be better.,Somewhat agree,24,Female,"Everyday, during a majority of business hours",Rarely,"I play MMORPGs, roleplaying games, and MOBAs.",A mouse,I used a USB mouse for this task. It is a simple product with left and right clicking.,Mouse buttons,"The mouse I am using has the left and right buttons for clicking, and nothing else.",I completed this task on a laptop and used a USB mouse instead of a trackpad. The issue I encounter was that the controls were inverted for my mouse.,Somewhat agree,Strongly agree,Somewhat agree,"If the interface movements moved in the same direction as the cursor, it would be better. Also, for the dial to not have so much jerking when trying to move it fast against the target.",0w8qnQI5qTNgoE2ANegnGq6Ft9s1,-MGssxKtAQDzqcGGv3WU,drag,click,drag-click
5,7,5,5,6,5,5,4,5,4,6,6,Somewhat agree,4,Somewhat agree,6,Somewhat agree,5,be less laggy,Somewhat agree,use arrow keys,Somewhat disagree,Somewhat agree,less laggy,Neither agree/nor disagree,29,Male,"Everyday, during a majority of business hours","Everyday, a few hours",strategy ,A mouse,just a mouse,Mouse buttons,just a mouse,allow arrow key usage,Somewhat agree,Neither agree/nor disagree,Somewhat agree,n/a,0x1KZW6hDCcIAXNcXZrO6ca8Q3v1,-MHO3UJIYLOTPYDMU-ED,panel,press/release,panel-press/release
6,7,2,4,6,2,3,7,7,1,1,7,Strongly agree,6,Strongly agree,7,Strongly agree,6,I will try to shed some light on the hidden facets of intuitive user interface. Read more: Why Experience Design is the next big thing .,Strongly agree,There are many techniques involved in crafting beautiful and functional interfaces. ... With quick wins and long strategies to start improving conversion tomorrow. ... Fading the extras allows visitors to easily focus their attention on the ... These hover controls can be achieved with some simple CSS ,Strongly agree,Somewhat agree,"Good design should help prevent such mismatches between the ... Southwest Airlines mobile site calendar interface ... These simple guidelines can help enable lower rates of user errors, and ultimately improve usability.",Strongly agree,46,Male,"Everyday, during a majority of business hours","Everyday, a few hours","The creation of these games involves thousands of hours of programming, giving you, the player, the most amazing gaming experience ..",A mouse,A mouse,Trackpad buttons,"A mouse,key board,mouse buttons","Designlab is a part-time, online course that helps you improve your UI/UX design skills through 1-on-1 mentorship from an expert designer.",Strongly agree,Somewhat agree,Strongly agree,"Web design consists, for the most part, of interface design. ... We can do this by adding padding and, in some cases, also converting the",1Jbrt8jJQGdSxJNX05PvPzvfng73,-MGyrqaqLuTRh3Tl5v_A,targetdrag,click,targetdrag-click
7,7,7,6,4,4,4,7,7,2,1,7,Strongly agree,7,Strongly agree,4,Somewhat agree,2,It is okay. Maintain it,Strongly agree,No,Strongly disagree,Strongly agree,There were no errors,Somewhat disagree,24,Male,"Everyday, during a majority of business hours",Once or twice a week,FIFA,A mouse,I use  the mouse in moving the cursor,Trackpad buttons,"I use the trackpad for ""clicking""",At the moment the interface is not disability friendly,Strongly agree,Strongly disagree,Somewhat disagree,Just make it disability friendly,1dtBapNzkqOJ5vH6TfDi9LfGpmf2,-MHO1YZPXg2e8R-fNv4R,targetdrag,press/release,targetdrag-press/release
8,5,4,1,7,5,4,5,3,1,1,5,Strongly agree,6,Strongly agree,6,Strongly agree,2,"I am not sure, I think making the target bigger is better but beyond that, I have no idea cause it seemed fine to me",Strongly agree,Making the target bigger,Strongly disagree,Strongly agree,Creating a bigger area to get the object to the target,Neither agree/nor disagree,44,Female,"Everyday, during a majority of business hours","Everyday, a few hours","I play mostly Minecraft, MMOs like Everquest and Tera, Don't starve together and more",A mouse,The mouse is quicker and more efficient ,Mouse buttons,It was easier to use and click faster,N/A,Strongly agree,Neither agree/nor disagree,Strongly disagree,N/A,1eUeXIylzMPkkakdSdP3ewp47kz1,-MGyp4IA3dSGshTmqWbN,targetdrag,press/release,targetdrag-press/release
9,6,4,5,5,6,5,7,6,5,6,6,Neither agree/nor disagree,4,Somewhat agree,6,Strongly agree,7,Well,Neither agree/nor disagree,Fast work,Neither agree/nor disagree,Somewhat agree,right,Neither agree/nor disagree,31,Male,"Everyday, less than an hour","Everyday, less than an hour",Nice,A pointing stick,Nothing,Keyboard,Nothing,Yes,Somewhat agree,Neither agree/nor disagree,Somewhat agree,Well,1fsNQoFLOCXq8ny1meARhcQo8yt2,-MHOAWvcAFvePsY4cqHx,drag,press/release,drag-press/release
