,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,cycleLength
0,1604016748.746,1604016785.585,arrow,press/release,6.001516849736463,3.3650165589240912,-0.6649897531678579,90,0,0,0.13590579087360286,0.13590579087360286,1.0,cylinder,PGfqFYRsGoQFDqZtuEhqaIIGpZE3,-MKqqG6E51vFLAepgYfo,-MKqqIY926tE03IWsZ1Y,arrow-press/release,20,48.314,0,26.248,10.591,0.0,3,36.83899998664856
1,1604016790.74,1604016862.074,arrow,press/release,5.0321661840445895,1.1036885333094941,0.5195603460742237,90,0,0,0.13590579087360286,0.13590579087360286,1.0,cylinder,PGfqFYRsGoQFDqZtuEhqaIIGpZE3,-MKqqG6E51vFLAepgYfo,-MKqqSnJD39TPDOYFMSz,arrow-press/release,38,3208033551.978,0,-20.335,71.663,20.006,11,71.33399987220764
2,1604016900.674,1604016958.301,arrow,press/release,2.2997182431494765,1.23322583610975,-3.284204856350217,0,90,90,0.16644827468559406,1.9888125476443765,0.3720702705515305,box,PGfqFYRsGoQFDqZtuEhqaIIGpZE3,-MKqqG6E51vFLAepgYfo,-MKqqsd1b7l0YDvUXlnh,arrow-press/release,26,4812050771.662,0,-39.623,-13.338,110.588,9,57.62700009346008
3,1604016867.416,1604016896.236,arrow,press/release,2.9663014809941894,1.9874482902139041,-2.753747082971293,0,0,90,0.16644827468559406,1.9888125476443765,0.3720702705515305,box,PGfqFYRsGoQFDqZtuEhqaIIGpZE3,-MKqqG6E51vFLAepgYfo,-MKqqkWNIC0un-gMFfyd,arrow-press/release,10,1604016935.143,0,8.952,5.112,14.756,5,28.820000171661377
4,1604016962.679,1604016997.055,arrow,press/release,2.8054610232698733,2.4476034053079987,-1.8298443478367994,0,45,90,0.16644827468559406,1.9888125476443765,0.3720702705515305,box,PGfqFYRsGoQFDqZtuEhqaIIGpZE3,-MKqqG6E51vFLAepgYfo,-MKqr6lr_gMIIsAPph0P,arrow-press/release,22,3208033995.761,0,-4.016,29.481,8.911,5,34.37600016593933
5,1604112907.902,1604112973.257,panel,press/release,3.5235260153986188,2.5522585260795467,-2.1858194223615603,0,45,90,0.17179580079064335,1.8008238398613488,0.3595618658077194,box,Vd6V7v9rF6hQTazRXGueV4Q316i2,-MKwYr5UK-Ey3d84kZRY,-MKw_6tyzFP6-FPRA11m,panel-press/release,82,72.225,0,108.322,-25.049,-17.918,8,65.35500001907349
6,1604112653.42,1604112678.674,panel,press/release,2.6635252139038963,2.046769003047672,-0.5235392566189527,0,0,90,0.17179580079064335,1.8008238398613488,0.3595618658077194,box,Vd6V7v9rF6hQTazRXGueV4Q316i2,-MKwYr5UK-Ey3d84kZRY,-MKwZ8lgcbl0m4iRM2TP,panel-press/release,28,29.822,0,31.21,-4.24,-1.716,6,25.253999948501587
7,1604112590.518,1604112603.291,panel,press/release,6.343361595550538,3.4992173872841272,-0.6339209724048365,90,0,0,0.12513689705087588,0.12513689705087588,1.0,cylinder,Vd6V7v9rF6hQTazRXGueV4Q316i2,-MKwYr5UK-Ey3d84kZRY,-MKwYuPqCjFhf6oU-ggv,panel-press/release,16,1604112615.248,0,12.772,0.0,0.001,2,12.773000001907349
8,1604112684.983,1604112903.079,panel,press/release,3.2689298873483144,2.257915637670659,-3.2340446903680133,0,90,90,0.17179580079064335,1.8008238398613488,0.3595618658077194,box,Vd6V7v9rF6hQTazRXGueV4Q316i2,-MKwYr5UK-Ey3d84kZRY,-MKwZGTraLWVKkGggSl0,panel-press/release,210,628.28,5,79.533,222.968,-84.405,19,218.09599995613098
9,1604112608.753,1604112647.954,panel,press/release,5.353002527408117,3.3785639508482608,-0.1734736021032941,90,0,0,0.12513689705087588,0.12513689705087588,1.0,cylinder,Vd6V7v9rF6hQTazRXGueV4Q316i2,-MKwYr5UK-Ey3d84kZRY,-MKwYyrm3zayhz5Xr28l,panel-press/release,40,1604112517.304,0,26.665,-14.8,27.336,6,39.20099997520447
10,1604095369.45,1604095380.841,panel,press/release,4.964181009901463,1.010328307027,-1.75031408094031,90,0,0,0.12182716303506802,0.12182716303506802,1.0,cylinder,FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvWugYuXNFewdBPXjf,-MKvXD2eRDa4fkh7Mfp4,panel-press/release,16,25.562,0,9.101,2.29,0.0,2,11.391000032424927
11,1604095302.765,1604095364.308,panel,press/release,6.409685420981602,2.1170641339219287,-0.7779731791046739,90,0,0,0.12182716303506802,0.12182716303506802,1.0,cylinder,FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvWugYuXNFewdBPXjf,-MKvWxlhm0JRorwfpOY-,panel-press/release,58,117.126,0,42.253,7.477,11.813,5,61.54299998283386
12,1604095386.237,1604095462.355,panel,press/release,3.0702076530993447,2.7312653267474207,0.6943548017330388,0,0,90,0.09795375160239116,1.9244732445395523,0.34085310777264816,box,FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvWugYuXNFewdBPXjf,-MKvXH8xPZF_31dqr46T,panel-press/release,80,3208190890.302,0,106.681,4.241,-34.804,6,76.11800003051758
13,1604095466.843,1604095592.037,panel,press/release,3.4972545304000104,2.80126632879195,-3.651045077135488,0,90,90,0.09795375160239116,1.9244732445395523,0.34085310777264816,box,FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvWugYuXNFewdBPXjf,-MKvX_pQiGvL2o3_LEyg,panel-press/release,168,1604095200.975,0,92.095,-37.445,70.544,9,125.19400000572205
