,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,uid,sid,control,transitionType,interfaceID
0,6,6,5,6,6,5,5,6,1,1,5,Strongly agree,5,Somewhat agree,5,Strongly agree,3,"explain which angle was which (top-down, from the side, etc)",Strongly agree,can't think of a way,Strongly disagree,Strongly agree,an undo in addition to a reset,Somewhat agree,32,Female,"Everyday, during a majority of business hours","Everyday, a few hours",adventure,A mouse,standard computer mouse,Mouse buttons,standard computer mouse,can't think of any,can't think of any,PGfqFYRsGoQFDqZtuEhqaIIGpZE3,-MKqrHDN8LJsg32fuFqC,arrow,press/release,arrow-press/release
1,7,7,6,2,2,6,5,1,3,3,7,Somewhat agree,1,Somewhat agree,1,Somewhat disagree,6,"A lot of times it would be unclear just what rotating would accomplish.  Additionally, at times it would be unclear what would get the task to complete, as I was already positioned properly.",Somewhat agree,"Control seemed fine, just a bit awkward.",Neither agree/nor disagree,Somewhat agree,"I did run into errors on occasion, but it was easy to reset.",Neither agree/nor disagree,35,Male,"Everyday, during a majority of business hours","Everyday, a few hours",RPG,A mouse,Normal gaming mouse.,Mouse buttons,Normal mouse buttons.,N/A,"Better visuals may help.  At times I should have been in position to grasp, but the computer wouldn't register because I had to be at some mysterious other point nearby.",Vd6V7v9rF6hQTazRXGueV4Q316i2,-MKw_OibNxIi1E3OmKpV,panel,press/release,panel-press/release
2,5,6,6,1,6,2,4,4,3,6,5,Somewhat disagree,4,Somewhat agree,3,Somewhat agree,5,"The views and the angles are a bit difficult to work out, maybe clarify them a bit more.",Somewhat agree,"A few more labels perhaps on the controls particularly the ones that adjust the direction the ""hand"" will tilt.",Somewhat disagree,Strongly agree,"You can simply keep going right on through a movement when the robot arm goes grey. Presumably, if it's grey it's stuck and you shouldn't be able to do that?",Neither agree/nor disagree,37,Female,"Everyday, during a majority of business hours","Everyday, a few hours","Varies wildly, I like Grand 4x Strategy, RPGS, and Action Adventure mainly.",A mouse,,Mouse buttons,,Allow the use of keyboard clicks for certain movements.,"A combination of keyboard to perhaps control back, forward, left, right (WASD) and the mouse controlling the ""tilt"" of the hand would feel better to me but I play a lot of video games.",FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvYSfuAiG_hev-400T,panel,press/release,panel-press/release
3,6,5,4,3,3,3,4,4,2,2,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,"label different views with top, left, front etc.",Neither agree/nor disagree,no additional comments.,Strongly disagree,Somewhat agree,na,Neither agree/nor disagree,41,Male,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,na,,5qEDQu6O6AUl0khcEu0Km3FHC6H2,-MKuz4NmhJ3LFXvaBhib,target,click,target-click
4,7,6,7,6,7,6,6,6,2,3,7,Strongly agree,6,Somewhat agree,6,Somewhat agree,6,Label directions with pictures.,Somewhat agree,Add pictures,Strongly agree,Somewhat agree,More examples,Somewhat agree,26,Male,"Everyday, during a majority of business hours","Everyday, a few hours",FPS,A mouse,,Mouse buttons,,Show more examples,Add pictures.,yjK8ULyntGPoDEAVHNTTN9Nqfm22,-MKrJ5DhEc97J-1Pzr9t,targetdrag,click,targetdrag-click
5,4,4,4,1,1,1,2,3,2,2,4,Somewhat agree,5,Somewhat agree,4,Somewhat agree,4,I don't know if more views would help but it seemed hard to see the objective sometimes,Somewhat agree,Maybe more control movements in one box rather than having to switch between them,Strongly disagree,Neither agree/nor disagree,I didn't encounter errors,Strongly disagree,40,Male,"Everyday, during a majority of business hours","Everyday, a few hours",MMORPG,A mouse,"Nothing special, standard mouse",Mouse buttons,"Nothing special, standard mouse","I'm not sure, it didn't seem usable without easy cursor control",Nothing I can think of,9v7OGGd4xhYCXy1LX9x7gvB4qm93,-MKr8fUFyc_NX-MXdwFH,panel,press/release,panel-press/release
6,5,5,6,1,1,1,6,5,3,2,6,Neither agree/nor disagree,4,Neither agree/nor disagree,3,Strongly agree,4,"The three different views were at first confusing, I was wondering if it would be possible to make a 3D view where one can rotate the camera angle freely and control the arm. Interface was fine though, just took me longer than expected to get used to it. ",Somewhat agree,I'd say being able to control the camera angle would be good. The three views are good but its fixed perspective needed time to get used to. ,Strongly disagree,Strongly agree,"The reset button is great! I wonder if a tutorial with guided movements would be helpful at some point, instead of a freestyle practice session. ",Somewhat agree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours","Real Time strategy, First Person Shooters, Racing, Adventure, Fighting",A mouse,It's a gaming mouse so I have about 20 buttons. But this experiment only needed the usual 2. ,Mouse buttons,Regular mouse buttons were used.,The colors kind of melded in together of the robot arms. Maybe use colors that pop out more. ,"I thought the interface was great once I got used to it. The controls were slightly confusing but once I figured it out, it all made sense. ",uneBgpxMO5SOMtkbAvLb9JyoZof1,-MKql6CwK90Lr5M9GMBL,target,click,target-click
7,3,2,2,1,6,3,1,4,1,1,6,Strongly agree,5,Strongly agree,5,Strongly agree,2,It seemed fine as is.,Strongly agree,It was as fast as I could imagine it being.,Strongly disagree,Strongly agree,I didn't really have any errors.,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours","MMORPGs, FPS",A mouse,"High precision, high DPI",Mouse buttons,,It was great as it was.,,eRumjKiTDRQpHDzi6vFltK0Roqn2,-MKuzWAUtVwOS9doDKx_,drag,press/release,drag-press/release
8,6,6,6,1,1,1,5,5,3,2,7,Somewhat agree,3,Somewhat agree,3,Somewhat agree,4,"It was hard to see and figure out what to do with the direction of grab the target from the top.  Top of what?
",Somewhat agree,nothing.  It seemed ok to me.,Somewhat disagree,Somewhat agree,"I think mine was user error.  I was clicking before the plus sign showed up, so it seemed slow, but actually I was just working too fast.",Neither agree/nor disagree,47,Female,"Everyday, during a majority of business hours","Everyday, a few hours",puzzle games.,A mouse,It' just a regular mouse.,Mouse buttons,"nothing out of the ordinary, just a plain regular mouse.",I do not know,N/A,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLdbXT_lTbNZQSaSM,target,click,target-click
9,3,1,2,2,1,2,2,5,2,1,3,Strongly agree,7,Strongly agree,7,Strongly agree,2,I feel the only way that might make it more intuitive is if it could be controlled with analog sticks or another method besides mouse.,Strongly agree,"If it could be controlled with two analogs sticks, or a track pad or something perhaps.",Somewhat disagree,Strongly agree,"It would sometimes go a little crazy if you put the arm in a position it didn't like. If it didn't do that - start bouncing around - and instead just flipped into the next position it can be in, that would be good.",Somewhat agree,27,Male,"Everyday, during a majority of business hours",Once or twice a week,"Simulation, strategy, racing, fps, so on.",A mouse,I just use a regular gaming mouse.,Mouse buttons,"It's a 3-speed mouse, with forward and back buttons, a clickable wheel, and a button to change the speeds of scrolling (I have it set to the least sensitive speed right now for web browsing).","Maybe make it so the arm automatically moves where you've clicked, so that way you don't end up accidentally turning the wheel instead of dragging it, which I did a couple times.",The wheel could be made bigger so that it's not so easy to click on the wrong area.,YEke5m26ZyfKGdM6fZEHN2f3IEB3,-MKv1TJYDRLWJrpPGr9x,drag,press/release,drag-press/release
